subtype,Type,BJA5 ,BJI5 ,BJN4 ,BJU2 ,CCA1 ,CCI2 ,CCN1 ,CCU4 ,CDA4 ,CDI2 ,CDN2 ,CDU1 ,CSA2 ,CSI2 ,CSN3 ,CSU3 ,FZA2 ,FZI2 ,FZN1 ,FZU5 ,GYA1 ,GYI1 ,GYN3 ,GYU3 ,GZA3 ,GZI2 ,GZN5 ,GZU4 ,HEBA3 ,HEBI2 ,HEBN3 ,HEBU4 ,HFA5 ,HFI5 ,HFN2 ,HFU5 ,HHHTA3 ,HHHTI1 ,HHHTN5 ,HHHTU2 ,HZA2 ,HZI3 ,HZN4 ,HZU5 ,JNA5 ,JNI4 ,JNN1 ,JNU5 ,KMA2 ,KMI4 ,KMN1 ,KMU1 ,LZA2 ,LZI1 ,LZN5 ,LZU1 ,NJA5 ,NJI4 ,NJN2 ,NJU5 ,NNA4 ,NNI4 ,NNN3 ,NNU2 ,SHA1 ,SHI4 ,SHN4 ,SHU4 ,SJZA4 ,SJZI5 ,SJZN1 ,SJZU1 ,SYA4 ,SYI1 ,SYN4 ,SYU1 ,TJA3 ,TJI2 ,TJN1 ,TJU1 ,TYA1 ,TYI2 ,TYN3 ,TYU5 ,WHA5 ,WHI3 ,WHN5 ,WHU4 ,WLMQA2 ,WLMQI4 ,WLMQN2 ,WLMQU2 ,XAA1 ,XAI3 ,XAN1 ,XAU2 ,XNA3,XNI3 ,XNN1 ,XNU2 ,YCA4 ,YCI2 ,YCN3 ,YCU2 ,ZZA5,ZZI5 ,ZZN4 ,ZZU5 
OXA-10,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-05
TEM-1,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,3.05E-05,2.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52E-05,0,0,0,0,0,0,0,0,3.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIM-1,Beta_lactam,0,0,0,0,0,0,0,2.30E-05,0,0,0,3.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23E-05,0,0,0,2.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-05,0,0,0,0,0,0,0,5.76E-05,0,0,0,2.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156297
catA4,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catA8,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86E-05,0,0,7.17E-05
catB10,Chloramphenicol,5.62E-05,0,0,3.51E-05,0,0,0,4.17E-05,0,0,0,7.16E-05,2.78E-05,0,0,5.20E-05,0.00015388,0.000164019,0,0.000176793,3.92E-05,0,0,4.97E-05,0,0,0,5.09E-05,0,4.06E-05,0,0.000102512,0,0,0,5.35E-05,6.19E-05,8.74E-05,0,0,0,0.0001509,0,0,4.54E-05,5.22E-05,0,0,8.67E-05,4.35E-05,0,0,9.24E-05,0,4.91E-05,0.000313007,0,0,0,4.14E-05,0,5.61E-05,5.45E-05,0,0,0,0,0,0,0,0.000151462,0.000102331,0,0,0,0,5.69E-05,8.29E-05,0,0,4.15E-05,0.000100527,0,0.000196317,0,0,0,5.12E-05,0,8.93E-05,0,0,9.62E-05,0,0,0,5.12E-05,3.64E-05,0,0.000347646,4.00E-05,3.62E-05,0,0,4.97E-05,7.73E-05,0,0.000220916
catB11,Chloramphenicol,2.18E-05,5.83E-05,2.72E-05,0.000176738,0,4.97E-05,0,0.000144506,4.01E-05,5.82E-05,0,7.26E-05,8.72E-05,0.000149243,0,4.56E-05,0.000102587,5.47E-05,0,1.00E-04,0,4.36E-05,0,0.000198911,0,0,0,0.000248386,0,4.06E-05,0,0.000275318,0,0,0,5.46E-05,0,0.000171147,0,0.000197616,0,5.13E-05,0,0,0.000177018,0.000205679,0,4.18E-05,4.29E-05,8.71E-05,0,0,9.24E-05,0.000121531,4.91E-05,0.000159698,4.97E-05,0.000138073,0,0.000124919,0,0.000112252,0,0,0,0,0.000106149,0,9.67E-05,0.000165902,0.000142125,0.000102331,0,0.000144657,0,4.24E-05,5.57E-05,0.000206923,0,3.96E-05,0.000113675,5.18E-05,5.95E-05,9.97E-05,0.000202791,9.78E-05,0.000237791,0,0,0.000150999,0,4.42E-05,9.71E-05,0,0,9.94E-05,0.000150424,3.57E-05,0,0.000345539,0.00016309,0.000142734,0,7.17E-05,4.97E-05,0.000185465,0.000213865,0.000837233
catB2,Chloramphenicol,0,0,0,0.000101607,0,0,0,7.99E-05,4.96E-05,0,0,0.000111967,0,0,0,0.000151715,5.24E-05,0,0,0.000146955,0,0,0,0.000153327,0,0,0,0.000195451,0,0,0,6.81E-05,0,0,0,5.46E-05,5.69E-05,0.000207694,0,4.92E-05,0,0,0,0,4.45E-05,0,0,0,3.94E-05,0,0,0,4.62E-05,9.65E-05,0,4.38E-05,0,0,5.74E-05,8.27E-05,0,5.15E-05,0,0,0,0,5.66E-05,0,0,5.65E-05,0.000100629,5.12E-05,0,0,0,4.15E-05,0,4.19E-05,0,3.88E-05,4.07E-05,0,5.60E-05,0,0.000162575,0,7.98E-05,5.23E-05,0,0.000131342,0,8.01E-05,4.86E-05,0,0,0,0,0.000106966,0,0.000167151,0,6.74E-05,0,7.17E-05,9.85E-05,3.95E-05,3.59E-05,0.000291309
catB3,Chloramphenicol,2.41E-05,0,2.72E-05,3.51E-05,0.00012532,0,0,0.000778635,0,0,0,7.16E-05,2.84E-05,5.15E-05,0,5.09E-05,0.00031524,0,0,0.001568762,0,0,0,5.18E-05,4.59E-05,0,0,0.00025144,0,0,0,0.001417594,0,0,0,0,6.06E-05,0.000219282,0,0.000296926,0,5.24E-05,0,0,0.000415206,5.33E-05,0,0.000211499,8.06E-05,0.00012889,0,0,0,4.92E-05,0,0.000527458,0,0,0,8.36E-05,0.000239992,0,0,5.30E-05,0,0,0,0,4.93E-05,5.88E-05,0.000246903,5.33E-05,0,0.000106873,0,4.24E-05,5.69E-05,4.10E-05,0,0,0,0.0001026,6.07E-05,0,3.76E-05,0,4.07E-05,0,3.76E-05,0,0,0,4.46E-05,0,0,9.74E-05,3.89E-05,0.000251042,0,0.000132035,7.42E-05,0,0,7.63E-05,5.07E-05,7.81E-05,0,0.001877409
catB8,Chloramphenicol,0,0,0,3.51E-05,0,0,0,4.25E-05,0,0,0,0.000306589,3.03E-05,0,0,5.20E-05,0.000105792,0,0,0.001092837,0,0,0,0,4.31E-05,0,0,0.000147606,0,0,0,0.000177932,0,0,0,0,5.94E-05,0.000266526,0,0,0,0,0,9.25E-05,0.000126971,0,0,8.36E-05,0,0.00012889,0,0,0,0,0,0.000405176,0,0,0,4.05E-05,4.94E-05,5.61E-05,5.68E-05,0,5.63E-05,0,0,0,0,0,0,0,0,0,3.21E-05,4.15E-05,0,0,0,3.96E-05,0,0,0,9.87E-05,8.39E-05,6.21E-05,0.000120524,0,0,0,0,0,4.86E-05,0,0,0,5.12E-05,0.000106238,0,0.000139761,0,0,0,3.74E-05,0.000101495,0.000387503,3.52E-05,0.000803534
