"","sample.id","group","Location","Longitude","Latitude","population.density","CO","MAP","MAT","Aridity.index","NO2","O3","PM2.5","PM10","SO2","pH","HDI","Per.capita.GDP"
"292","NJN2","Forest","Nanjing",118.85,32.08,1598.79,0.77,1036,15.47,0.81,30.94,96.64,53.61,90.15,8.5,6.2,0.667943452,9165.778884
"300","NJU5","Urban","Nanjing",118.79,32.02,23244.88,0.78,1100,16.14,0.84,37.74,94.91,57.27,98.25,8.48,7.33,0.667943452,9165.778884
"304","NNA4","Cropland","Nanning",108.18,22.77,29.36,0.77,1454,21.9,1.06,19.48,84.7,41.02,64.98,8.74,6.32,0.587575948,3593.870791
"309","NNI4","Industry","Nanning",108.32,22.87,1493.59,0.83,1424,22.05,1.04,24.78,83.09,42.73,69.66,9.5,8.45,0.587575948,3593.870791
"313","NNN3","Forest","Nanning",108.37,22.97,6.5,0.74,1500,20.96,1.12,14.42,85.03,39.84,60.64,8.14,6.1,0.587575948,3593.870791
"317","NNU2","Urban","Nanning",108.32,22.81,21223.35,0.84,1421,22.31,1.03,25.64,82.16,42.7,69.81,9.5,7.6,0.587575948,3593.870791
"321","SHA1","Cropland","Shanghai",121.64,31.06,988.52,0.73,984,16.12,0.79,31.92,101.77,41.65,68.1,7.66,6.48,0.726879633,16476.7164
"329","SHI4","Industry","Shanghai",121.45,30.82,855.43,0.75,1022,16.19,0.82,31.72,102.43,43.26,71.2,7.74,7.75,0.726879633,16476.7164
"334","SHN4","Forest","Shanghai",121.19,31.09,1742.16,0.76,946,16.13,0.76,34.88,101.98,47.46,76.86,7.96,4.7,0.726879633,16476.7164
"339","SHU4","Urban","Shanghai",121.5,31.24,15002.85,0.75,1068,16.42,0.82,37.86,100.92,48.5,76.78,8.1,8.03,0.726879633,16476.7164
"344","SJZA4","Cropland","Shijiazhuang",114.67,37.96,442.53,0.92,475,13.27,0.32,39.02,94.24,88.58,158.1,12.12,8.1,0.617044036,5281.679016
"350","SJZI5","Industry","Shijiazhuang",114.68,37.97,632.8,0.91,474,13.3,0.32,39.7,94.17,88.95,159.45,11.88,8.14,0.617044036,5281.679016
"351","SJZN1","Forest","Shijiazhuang",114.35,37.91,109.62,0.91,508,12.66,0.35,26.22,102.23,72.93,136.81,12.16,6.88,0.617044036,5281.679016
"356","SJZU1","Urban","Shijiazhuang",114.48,38.04,11064.4,0.94,536,13.87,0.35,41.92,91.27,93.26,174.25,12.14,8.03,0.617044036,5281.679016
"364","SYA4","Cropland","Shenyang",123.13,41.79,785.02,0.86,622,8.02,0.51,29.56,95.23,54.14,91.97,15.6,5.67,0.660799721,7679.245174
"366","SYI1","Industry","Shenyang",123.27,41.79,2254.94,0.92,657,8.35,0.54,34.56,90.58,57.98,100.86,16.24,7.99,0.660799721,7679.245174
"374","SYN4","Forest","Shenyang",123.64,41.94,584.4,0.91,663,7.45,0.56,28.72,93,49.06,82.11,14.12,7.19,0.660799721,7679.245174
"376","SYU1","Urban","Shenyang",123.46,41.8,24999.05,0.96,704,8.65,0.58,39.66,82.55,58.66,103.04,18.32,7.22,0.660799721,7679.245174
"383","TJA3","Cropland","Tianjin",117.57,40.09,534.09,0.82,546,11.22,0.39,29.06,96.26,61.42,106.95,10.08,7.78,0.709913171,12592.4692
"387","TJI2","Industry","Tianjin",117.42,38.83,11901.36,0.89,551,13.09,0.35,39.48,95.14,69.23,121.01,13.22,8.46,0.709913171,12592.4692
"391","TJN1","Forest","Tianjin",117.54,40.18,33.98,0.76,557,9.88,0.42,22.9,96.73,53.92,96.1,8.7,4.69,0.709913171,5281.679016
"396","TJU1","Urban","Tianjin",117.19,39.12,18797.77,0.9,578,13.38,0.38,41.12,93.27,72.92,128.57,10.26,8.08,0.709913171,12592.4692
"401","TYA1","Cropland","Taiyuan",112.49,37.94,2176.05,0.9,408,9.73,0.28,40.62,87.35,57.99,114.89,14.76,8.32,0.618829958,4592.821115
"407","TYI2","Industry","Taiyuan",112.53,37.93,3947.6,0.93,431,10,0.3,42.5,87.61,59.89,119.52,15.22,7.98,0.618829958,4592.821115
"413","TYN3","Forest","Taiyuan",112.76,37.91,15.97,0.86,447,5.69,0.36,27.4,95.68,48.56,97.22,13.68,7.79,0.618829958,4592.821115
"420","TYU5","Urban","Taiyuan",112.56,37.86,22854.5,1.02,454,10.2,0.31,47.44,82.26,63.84,127,17.28,7.99,0.618829958,4592.821115
"425","WHA5","Cropland","Wuhan",113.98,30.59,274.12,0.86,1219,16.82,1.02,29.34,95.18,62.46,101.06,9.14,8.06,0.621508908,4815.534142
"428","WHI3","Industry","Wuhan",114.44,30.63,2011.97,0.97,1247,17.13,1,40.52,94.28,65.48,104.6,9.66,8.42,0.621508908,4815.534142
"435","WHN5","Forest","Wuhan",113.96,30.49,351.06,0.84,1231,16.66,1.03,27.6,95.19,59.95,95.81,9.16,4.1,0.621508908,4815.534142
"439","WHU4","Urban","Wuhan",114.28,30.58,14070.22,0.98,1336,17.33,1.1,43.58,92.07,63.66,104.4,9.54,7.93,0.621508908,4815.534142
"442","WLMQA2","Cropland","Urumqi",87.74,43.96,647.99,1.03,192,7.45,0.13,42.78,78.47,64.54,126.37,10.7,8.35,0.595612685,4759.691209
"449","WLMQI4","Industry","Urumqi",87.34,43.86,32,1,210,7.39,0.14,41.8,78.05,64.29,127.37,10.3,8.55,0.595612685,4759.691209
"452","WLMQN2","Forest","Urumqi",87.95,43.83,3.27,0.69,238,3.44,0.19,22.82,91.27,34.76,91.98,10.34,8.01,0.595612685,4759.691209
"457","WLMQU2","Urban","Urumqi",87.62,43.78,28977.23,1.04,241,7.14,0.16,49.62,66.93,61.26,131.6,12.12,8.39,0.595612685,4759.691209
"461","XAA1","Cropland","Xian",109.11,34.45,568.82,0.86,659,13.51,0.51,37.92,86.6,69.22,129.03,10.66,8.34,0.620615913,4388.553434
"468","XAI3","Industry","Xian",109.05,34.5,346.18,0.85,675,13.32,0.52,38.84,86.8,69.76,130.51,10.92,8.71,0.620615913,4388.553434
