level1,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,HEBA3,HEBI2,HEBN3,HEBU4,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
1470_tnpA_CAGQ01000006.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147099
1471_tnpA_CBZT010000006.1,0,0,0,0,0,0,0,6.08E-05,0,0,0,0.000109572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121652,0,0,0,5.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05,0,0,0,0,0,0,0,0
1472_tnpA_AQDS01000033.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473_tnpA_AJ344068.1,0,0,0,0,0,0,0,8.25E-05,3.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000111242,0,0,0,0,0,0,0,0,0,0.000197478,0,0,0,5.17E-05,0,0,0,0,0.000279033,0,0,0,0,0,0,0,0,0,0,0,0,3.61E-05,0,0,0,0,0,7.76E-05,0,0,0,0.000107212,0,2.34E-05,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475_tnpA_KR066794.1,0,0,0,4.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477_tnpA_JGVR01000088.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480_tnpA_AF086815.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,2.48E-05,0,0,0,0,0,0,0,0,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143186,0,0,0,9.20E-05,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131619,0,0,0,0,0,0,4.66E-05,0,0,0,0,0,0,0,0
1485_tnpA_KU666846.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486_tnpA_EF011038.1,0,0,0,0,0,0,3.65E-05,0,0,7.93E-05,0,0,4.13E-05,0,0,7.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91E-05,0,0,0,0,0,0,0,0,0,0,7.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E-05
1487_istA11_HG916826.1,0,0,3.29E-05,4.16E-05,7.12E-05,8.57E-05,0,0.000117618,3.19E-05,9.81E-05,0,0.000347759,0.00103571,2.83E-05,2.59E-05,9.68E-05,0.000334104,0,0,0.000262457,6.80E-05,6.48E-05,0,0,0,0.000167135,0,5.32E-05,0.000181667,0,0,0,0,5.51E-05,0,0.000174012,2.69E-05,3.19E-05,0,0.000176351,0.000133156,7.92E-05,3.35E-05,2.54E-05,0.000117489,7.29E-05,0,0.000138905,0,2.93E-05,8.67E-05,0.007195795,2.71E-05,0,3.20E-05,0.00010834,2.67E-05,0,0,4.67E-05,0,0,0,6.17E-05,0.000104819,0.000151814,0,0.000101475,0,3.24E-05,9.40E-05,2.69E-05,8.76E-05,2.49E-05,5.97E-05,0,7.01E-05,2.53E-05,0,0,0,3.17E-05,0,9.11E-05,0.000133238,9.92E-05,0,0.000126674,0,0.000285003,0,5.51E-05,5.77E-05,0,0,0,0,5.48E-05,7.17E-05,6.09E-05,2.41E-05,0,5.35E-05,4.66E-05,8.87E-05,0.000143669,4.14E-05,2.29E-05
